latitude,longitude
31.77,-109.54
31.77,-109.5
31.77,-109.46
31.77,-109.42
31.77,-109.38
31.77,-109.34
31.77,-109.3
31.77,-109.26
31.77,-109.22
31.77,-109.18
31.77,-109.14
31.77,-109.1
31.77,-109.06
31.81,-112.58
31.81,-112.54
31.81,-112.5
31.81,-112.46
31.81,-112.42
31.81,-112.38
31.81,-112.34
31.81,-112.3
31.81,-112.26
31.81,-112.22
31.81,-112.18
31.81,-112.14
31.81,-112.1
31.81,-112.06
31.81,-112.02
31.81,-111.98
31.81,-111.94
31.81,-111.9
31.81,-111.86
31.81,-111.82
31.81,-111.78
31.81,-111.74
31.81,-111.7
31.81,-111.66
31.81,-111.62
31.81,-111.58
31.81,-111.54
31.81,-111.5
31.81,-111.46
31.81,-111.42
31.81,-111.38
31.81,-111.34
31.81,-111.3
31.81,-111.26
31.81,-111.22
31.81,-111.18
31.81,-111.14
31.81,-111.1
31.81,-111.06
31.81,-111.02
31.81,-110.98
31.81,-110.94
31.81,-110.9
31.81,-110.86
31.81,-110.82
31.81,-110.78
31.81,-110.74
31.81,-110.7
31.81,-110.66
31.81,-110.62
31.81,-110.58
31.81,-110.54
31.81,-110.5
31.81,-110.46
31.81,-110.42
31.81,-110.38
31.81,-110.34
31.81,-110.3
31.81,-110.26
31.81,-110.22
31.81,-110.18
31.81,-110.14
31.81,-110.1
31.81,-110.06
31.81,-110.02
31.81,-109.98
31.81,-109.94
31.81,-109.9
31.81,-109.86
31.81,-109.82
31.81,-109.78
31.81,-109.74
31.81,-109.7
31.81,-109.66
31.81,-109.62
31.81,-109.58
31.81,-109.54
31.81,-109.5
31.81,-109.46
31.81,-109.42
31.81,-109.38
31.81,-109.34
31.81,-109.3
31.81,-109.26
31.81,-109.22
31.81,-109.18
31.81,-109.14
31.81,-109.1
31.81,-109.06
31.85,-112.7
31.85,-112.66
31.85,-112.62
31.85,-112.58
31.85,-112.54
31.85,-112.5
31.85,-112.46
31.85,-112.42
31.85,-112.38
31.85,-112.34
31.85,-112.3
31.85,-112.26
31.85,-112.22
31.85,-112.18
31.85,-112.14
31.85,-112.1
31.85,-112.06
31.85,-112.02
31.85,-111.98
31.85,-111.94
31.85,-111.9
31.85,-111.86
31.85,-111.82
31.85,-111.78
31.85,-111.74
31.85,-111.7
31.85,-111.66
31.85,-111.62
31.85,-111.58
31.85,-111.54
31.85,-111.5
31.85,-111.46
31.85,-111.42
31.85,-111.38
31.85,-111.34
31.85,-111.3
31.85,-111.26
31.85,-111.22
31.85,-111.18
31.85,-111.14
31.85,-111.1
31.85,-111.06
31.85,-111.02
31.85,-110.98
31.85,-110.94
31.85,-110.9
31.85,-110.86
31.85,-110.82
31.85,-110.78
31.85,-110.74
31.85,-110.7
31.85,-110.66
31.85,-110.62
31.85,-110.58
31.85,-110.54
31.85,-110.5
31.85,-110.46
31.85,-110.42
31.85,-110.38
31.85,-110.34
31.85,-110.3
31.85,-110.26
31.85,-110.22
31.85,-110.18
31.85,-110.14
31.85,-110.1
31.85,-110.06
31.85,-110.02
31.85,-109.98
31.85,-109.94
31.85,-109.9
31.85,-109.86
31.85,-109.82
31.85,-109.78
31.85,-109.74
31.85,-109.7
31.85,-109.66
31.85,-109.62
31.85,-109.58
31.85,-109.54
31.85,-109.5
31.85,-109.46
31.85,-109.42
31.85,-109.38
31.85,-109.34
31.85,-109.3
31.85,-109.26
31.85,-109.22
31.85,-109.18
31.85,-109.14
31.85,-109.1
31.85,-109.06
31.89,-112.86
31.89,-112.82
31.89,-112.78
31.89,-112.74
31.89,-112.7
31.89,-112.66
31.89,-112.62
31.89,-112.58
31.89,-112.54
31.89,-112.5
31.89,-112.46
31.89,-112.42
31.89,-112.38
31.89,-112.34
31.89,-112.3
31.89,-112.26
31.89,-112.22
31.89,-112.18
31.89,-112.14
31.89,-112.1
31.89,-112.06
31.89,-112.02
31.89,-111.98
31.89,-111.94
31.89,-111.9
31.89,-111.86
31.89,-111.82
31.89,-111.78
31.89,-111.74
31.89,-111.7
31.89,-111.66
31.89,-111.62
31.89,-111.58
31.89,-111.54
31.89,-111.5
31.89,-111.46
31.89,-111.42
31.89,-111.38
31.89,-111.34
31.89,-111.3
31.89,-111.26
31.89,-111.22
31.89,-111.18
31.89,-111.14
31.89,-111.1
31.89,-111.06
31.89,-111.02
31.89,-110.98
31.89,-110.94
31.89,-110.9
31.89,-110.86
31.89,-110.82
31.89,-110.78
31.89,-110.74
31.89,-110.7
31.89,-110.66
31.89,-110.62
31.89,-110.58
31.89,-110.54
31.89,-110.5
31.89,-110.46
31.89,-110.42
31.89,-110.38
31.89,-110.34
31.89,-110.3
31.89,-110.26
31.89,-110.22
31.89,-110.18
31.89,-110.14
31.89,-110.1
31.89,-110.06
31.89,-110.02
31.89,-109.98
31.89,-109.94
31.89,-109.9
31.89,-109.86
31.89,-109.82
31.89,-109.78
31.89,-109.74
31.89,-109.7
31.89,-109.66
31.89,-109.62
31.89,-109.58
31.89,-109.54
31.89,-109.5
31.89,-109.46
31.89,-109.42
31.89,-109.38
31.89,-109.34
31.89,-109.3
31.89,-109.26
31.89,-109.22
31.89,-109.18
31.89,-109.14
31.89,-109.1
31.89,-109.06
31.93,-112.98
31.93,-112.94
31.93,-112.9
31.93,-112.86
31.93,-112.82
31.93,-112.78
31.93,-112.74
31.93,-112.7
31.93,-112.66
31.93,-112.62
31.93,-112.58
31.93,-112.54
31.93,-112.5
31.93,-112.46
31.93,-112.42
31.93,-112.38
31.93,-112.34
31.93,-112.3
31.93,-112.26
31.93,-112.22
31.93,-112.18
31.93,-112.14
31.93,-112.1
31.93,-112.06
31.93,-112.02
31.93,-111.98
31.93,-111.94
31.93,-111.9
31.93,-111.86
31.93,-111.82
31.93,-111.78
31.93,-111.74
31.93,-111.7
31.93,-111.66
31.93,-111.62
31.93,-111.58
31.93,-111.54
31.93,-111.5
31.93,-111.46
31.93,-111.42
31.93,-111.38
31.93,-111.34
31.93,-111.3
31.93,-111.26
31.93,-111.22
31.93,-111.18
31.93,-111.14
31.93,-111.1
31.93,-111.06
31.93,-111.02
31.93,-110.98
31.93,-110.94
31.93,-110.9
31.93,-110.86
31.93,-110.82
31.93,-110.78
31.93,-110.74
31.93,-110.7
31.93,-110.66
31.93,-110.62
31.93,-110.58
31.93,-110.54
31.93,-110.5
31.93,-110.46
31.93,-110.42
31.93,-110.38
31.93,-110.34
31.93,-110.3
31.93,-110.26
31.93,-110.22
31.93,-110.18
31.93,-110.14
31.93,-110.1
31.93,-110.06
31.93,-110.02
31.93,-109.98
31.93,-109.94
31.93,-109.9
31.93,-109.86
31.93,-109.82
31.93,-109.78
31.93,-109.74
31.93,-109.7
31.93,-109.66
31.93,-109.62
31.93,-109.58
31.93,-109.54
31.93,-109.5
31.93,-109.46
31.93,-109.42
31.93,-109.38
31.93,-109.34
31.93,-109.3
31.93,-109.26
31.93,-109.22
31.93,-109.18
31.93,-109.14
31.93,-109.1
31.93,-109.06
31.97,-113.1
31.97,-113.06
31.97,-113.02
31.97,-112.98
31.97,-112.94
31.97,-112.9
31.97,-112.86
31.97,-112.82
31.97,-112.78
31.97,-112.74
31.97,-112.7
