latitude,longitude,elevation,timezone,country,state,county,urban,population,landcover,ghi_mean2022,dni_mean2022,dhi_mean2022,temp_mean2022,wind_mean2022,sp_mean2022,Solar_Energy2022
36.85,-113.38,1244.52,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,223.92391552511415,297.21712328767126,52.31175799086758,148.2884703196347,25.39178082191781,874.0735730593607,353.08322999999996
36.85,-113.34,1363.0,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.1122716894977,300.6532534246575,51.72288812785388,146.3691210045662,25.418949771689498,871.383105022831,354.95703
36.85,-113.3,1515.2,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.74246575342465,302.3793378995434,51.96900684931507,127.45890410958904,25.461529680365295,841.4595890410959,355.95072
36.85,-113.26,1463.24,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.9369292237443,301.826198630137,52.141609589041096,130.54634703196348,25.477054794520548,846.8184360730594,356.25735
36.85,-113.22,1414.28,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.38761415525113,299.4642694063927,52.326141552511416,132.40633561643835,25.478196347031965,849.9086757990867,355.39119
36.85,-113.18,1425.76,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,224.0806506849315,296.1603310502283,52.71541095890411,132.03624429223746,25.489326484018264,850.6288812785388,353.33037
36.85,-113.14,1449.6,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,223.1798515981735,294.9058789954338,52.87968036529681,130.08590182648402,25.48162100456621,847.4994863013699,351.90999
36.85,-113.1,1473.5,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,222.83778538812783,294.23915525114154,52.803367579908674,127.33955479452057,25.49189497716895,843.3891552511416,351.3706199999999
36.85,-113.06,1486.8,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,222.5283675799087,292.8528538812785,52.97659817351598,126.82608447488585,25.473344748858448,842.5009703196347,350.88273000000004
36.85,-113.02,1507.16,-7,b'United States',b'Arizona',b'Mohave',b'None',1,30,222.1196917808219,291.26626712328766,53.37859589041096,124.86272831050228,25.445433789954336,840.0739155251141,350.23832999999996
36.85,-112.98,1526.32,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.26866438356168,302.1788812785388,52.860102739726024,124.48949771689496,25.421689497716898,839.567694063927,355.2036300000001
36.85,-112.94,1560.04,-7,b'United States',b'Arizona',b'Mohave',b'None',0,30,224.87528538812785,301.0490867579909,53.09166666666667,123.46118721461188,25.304052511415524,838.3154680365296,354.58335
36.85,-112.9,1538.75,-7,b'United States',b'Arizona',b'Mohave',b'None',0,30,225.34223744292237,301.9961187214612,52.788413242009135,122.5445205479452,25.23681506849315,837.030194063927,355.31964
36.85,-112.86,1513.84,-7,b'United States',b'Arizona',b'Mohave',b'None',0,30,225.68076484018263,302.098401826484,52.982077625570774,126.54469178082192,24.994748858447487,843.6960616438356,355.85342999999995
36.85,-112.82,1514.36,-7,b'United States',b'Arizona',b'Mohave',b'None',0,30,225.75005707762557,302.9707762557078,52.73053652968037,125.27671232876712,24.700856164383563,842.5142123287671,355.96269
36.85,-112.78,1492.0,-7,b'United States',b'Arizona',b'Mohave',b'None',0,30,226.24326484018263,304.41860730593606,52.41712328767123,128.59212328767123,24.54086757990867,847.8853310502283,356.74037999999996
36.85,-112.74,1492.2,-7,b'United States',b'Arizona',b'Mohave',b'None',4,130,226.7548515981735,305.4933219178082,52.60216894977169,125.27454337899545,24.33892694063927,843.6214611872147,357.54704999999996
36.85,-112.7,1413.7,-7,b'United States',b'Arizona',b'Mohave',b'None',24,130,226.43002283105025,304.47254566210046,52.65393835616438,130.3833904109589,24.254794520547943,851.803595890411,357.03486000000004
36.85,-112.66,1412.44,-7,b'United States',b'Arizona',b'Mohave',b'None',17,130,226.349600456621,304.14760273972604,52.515182648401826,130.8472602739726,24.19200913242009,853.3032534246576,356.90805
36.85,-112.62,1384.48,-7,b'United States',b'Arizona',b'Mohave',b'None',0,130,225.926997716895,302.85947488584475,52.65559360730594,130.88926940639269,24.18738584474886,853.5930365296804,356.24169
36.85,-112.58,1368.56,-7,b'United States',b'Arizona',b'Coconino',b'None',0,130,224.83293378995432,300.0332191780822,53.0726598173516,130.91438356164383,24.189383561643837,854.0195776255708,354.51657
